Timestamp,Value (kW-hr)
04-Feb-21 8:45:00 AM CET,143202
04-Feb-21 9:00:01 AM CET,143204
04-Feb-21 9:15:00 AM CET,143205
04-Feb-21 9:30:00 AM CET,143206
04-Feb-21 9:45:00 AM CET,143207
04-Feb-21 10:00:00 AM CET,143208
04-Feb-21 10:15:00 AM CET,143209
04-Feb-21 10:30:00 AM CET,143211
04-Feb-21 10:45:00 AM CET,143212
04-Feb-21 11:00:00 AM CET,143213
04-Feb-21 11:15:00 AM CET,143214
04-Feb-21 11:30:00 AM CET,143215
04-Feb-21 11:45:00 AM CET,143216
04-Feb-21 12:00:00 PM CET,143218
04-Feb-21 12:15:00 PM CET,143219
04-Feb-21 12:30:00 PM CET,143220
04-Feb-21 12:45:00 PM CET,143221
04-Feb-21 1:00:00 PM CET,143222
04-Feb-21 1:15:00 PM CET,143224
04-Feb-21 1:30:00 PM CET,143225
04-Feb-21 1:45:00 PM CET,143226
04-Feb-21 2:00:00 PM CET,143227
04-Feb-21 2:15:00 PM CET,143228
04-Feb-21 2:30:00 PM CET,143229
04-Feb-21 2:45:00 PM CET,143231
04-Feb-21 3:00:00 PM CET,143232
04-Feb-21 3:15:00 PM CET,143233
04-Feb-21 3:30:00 PM CET,143234
04-Feb-21 3:45:00 PM CET,143235
04-Feb-21 4:00:00 PM CET,143236
04-Feb-21 4:15:00 PM CET,143238
04-Feb-21 4:30:00 PM CET,143239
04-Feb-21 4:45:00 PM CET,143240
04-Feb-21 5:00:00 PM CET,143241
04-Feb-21 5:15:00 PM CET,143242
04-Feb-21 5:30:00 PM CET,143243
04-Feb-21 5:45:00 PM CET,143245
04-Feb-21 6:00:00 PM CET,143246
04-Feb-21 6:15:00 PM CET,143247
04-Feb-21 6:30:00 PM CET,143248
04-Feb-21 6:45:00 PM CET,143249
04-Feb-21 7:00:00 PM CET,143251
04-Feb-21 7:15:01 PM CET,143252
04-Feb-21 7:30:00 PM CET,143253
04-Feb-21 7:45:00 PM CET,143254
04-Feb-21 8:00:00 PM CET,143255
04-Feb-21 8:15:00 PM CET,143256
04-Feb-21 8:30:00 PM CET,143258
04-Feb-21 8:45:00 PM CET,143259
04-Feb-21 9:00:00 PM CET,143260
04-Feb-21 9:15:00 PM CET,143261
04-Feb-21 9:30:00 PM CET,143262
04-Feb-21 9:45:00 PM CET,143263
04-Feb-21 10:00:00 PM CET,143265
04-Feb-21 10:15:00 PM CET,143266
04-Feb-21 10:30:00 PM CET,143267
04-Feb-21 10:45:00 PM CET,143268
04-Feb-21 11:00:00 PM CET,143269
04-Feb-21 11:15:00 PM CET,143271
04-Feb-21 11:30:00 PM CET,143272
04-Feb-21 11:45:00 PM CET,143273
05-Feb-21 12:00:00 AM CET,143274
05-Feb-21 12:15:01 AM CET,143275
05-Feb-21 12:30:00 AM CET,143276
05-Feb-21 12:45:00 AM CET,143278
05-Feb-21 1:00:00 AM CET,143279
05-Feb-21 1:15:00 AM CET,143280
05-Feb-21 1:30:00 AM CET,143281
05-Feb-21 1:45:00 AM CET,143282
05-Feb-21 2:00:01 AM CET,143283
05-Feb-21 2:15:00 AM CET,143285
05-Feb-21 2:30:00 AM CET,143286
05-Feb-21 2:45:00 AM CET,143287
05-Feb-21 3:00:00 AM CET,143288
05-Feb-21 3:15:00 AM CET,143289
05-Feb-21 3:30:00 AM CET,143290
05-Feb-21 3:45:00 AM CET,143292
05-Feb-21 4:00:00 AM CET,143293
05-Feb-21 4:15:00 AM CET,143294
05-Feb-21 4:30:00 AM CET,143295
05-Feb-21 4:45:00 AM CET,143296
05-Feb-21 5:00:00 AM CET,143297
05-Feb-21 5:15:00 AM CET,143299
05-Feb-21 5:30:00 AM CET,143300
05-Feb-21 5:45:00 AM CET,143301
05-Feb-21 6:00:00 AM CET,143302
05-Feb-21 6:15:00 AM CET,143303
05-Feb-21 6:30:00 AM CET,143304
05-Feb-21 6:45:00 AM CET,143306
05-Feb-21 7:00:00 AM CET,143307
05-Feb-21 7:15:00 AM CET,143308
05-Feb-21 7:30:00 AM CET,143309
05-Feb-21 7:45:00 AM CET,143310
05-Feb-21 8:00:00 AM CET,143311
05-Feb-21 8:15:00 AM CET,143313
05-Feb-21 8:30:00 AM CET,143314
05-Feb-21 8:45:00 AM CET,143315
05-Feb-21 9:00:00 AM CET,143316
05-Feb-21 9:15:00 AM CET,143317
05-Feb-21 9:30:00 AM CET,143318
05-Feb-21 9:45:00 AM CET,143320
05-Feb-21 10:00:00 AM CET,143321
05-Feb-21 10:15:00 AM CET,143322
05-Feb-21 10:30:00 AM CET,143323
05-Feb-21 10:45:00 AM CET,143324
05-Feb-21 11:00:00 AM CET,143325
05-Feb-21 11:15:00 AM CET,143327
05-Feb-21 11:30:01 AM CET,143328
05-Feb-21 11:45:00 AM CET,143329
05-Feb-21 12:00:00 PM CET,143330
05-Feb-21 12:15:00 PM CET,143331
05-Feb-21 12:30:00 PM CET,143332
05-Feb-21 12:45:00 PM CET,143334
05-Feb-21 1:00:00 PM CET,143335
05-Feb-21 1:15:00 PM CET,143336
05-Feb-21 1:30:00 PM CET,143337
05-Feb-21 1:45:00 PM CET,143338
05-Feb-21 2:00:00 PM CET,143339
05-Feb-21 2:15:00 PM CET,143341
05-Feb-21 2:30:00 PM CET,143342
05-Feb-21 2:45:00 PM CET,143343
05-Feb-21 3:00:00 PM CET,143344
05-Feb-21 3:15:00 PM CET,143345
05-Feb-21 3:30:00 PM CET,143346
05-Feb-21 3:45:00 PM CET,143348
05-Feb-21 4:00:01 PM CET,143349
05-Feb-21 4:15:01 PM CET,143350
05-Feb-21 4:30:00 PM CET,143351
05-Feb-21 4:45:00 PM CET,143352
05-Feb-21 5:00:00 PM CET,143353
05-Feb-21 5:15:00 PM CET,143355
05-Feb-21 5:30:00 PM CET,143356
05-Feb-21 5:45:00 PM CET,143357
05-Feb-21 6:00:00 PM CET,143358
05-Feb-21 6:15:01 PM CET,143359
05-Feb-21 6:30:00 PM CET,143360
05-Feb-21 6:45:00 PM CET,143362
05-Feb-21 7:00:00 PM CET,143363
05-Feb-21 7:15:00 PM CET,143364
05-Feb-21 7:30:01 PM CET,143365
05-Feb-21 7:45:00 PM CET,143366
05-Feb-21 8:00:00 PM CET,143367
05-Feb-21 8:15:00 PM CET,143369
05-Feb-21 8:30:00 PM CET,143370
05-Feb-21 8:45:00 PM CET,143371
05-Feb-21 9:00:01 PM CET,143372
05-Feb-21 9:15:00 PM CET,143373
05-Feb-21 9:30:00 PM CET,143374
05-Feb-21 9:45:00 PM CET,143376
05-Feb-21 10:00:00 PM CET,143377
05-Feb-21 10:15:00 PM CET,143378
05-Feb-21 10:30:00 PM CET,143379
05-Feb-21 10:45:00 PM CET,143380
05-Feb-21 11:00:00 PM CET,143381
05-Feb-21 11:15:00 PM CET,143382
05-Feb-21 11:30:00 PM CET,143384
05-Feb-21 11:45:00 PM CET,143385
06-Feb-21 12:00:01 AM CET,143386
06-Feb-21 12:15:00 AM CET,143387
06-Feb-21 12:30:00 AM CET,143388
06-Feb-21 12:45:00 AM CET,143389
06-Feb-21 1:00:00 AM CET,143390
06-Feb-21 1:15:00 AM CET,143391
06-Feb-21 1:30:00 AM CET,143393
06-Feb-21 1:45:00 AM CET,143394
06-Feb-21 2:00:00 AM CET,143395
06-Feb-21 2:15:00 AM CET,143396
06-Feb-21 2:30:00 AM CET,143397
06-Feb-21 2:45:00 AM CET,143398
06-Feb-21 3:00:00 AM CET,143399
06-Feb-21 3:15:00 AM CET,143401
06-Feb-21 3:30:00 AM CET,143402
06-Feb-21 3:45:00 AM CET,143403
06-Feb-21 4:00:00 AM CET,143404
06-Feb-21 4:15:00 AM CET,143405
06-Feb-21 4:30:00 AM CET,143406
06-Feb-21 4:45:00 AM CET,143408
06-Feb-21 5:00:00 AM CET,143409
06-Feb-21 5:15:00 AM CET,143410
06-Feb-21 5:30:00 AM CET,143411
06-Feb-21 5:45:00 AM CET,143412
06-Feb-21 6:00:00 AM CET,143413
06-Feb-21 6:15:00 AM CET,143414
06-Feb-21 6:30:00 AM CET,143415
06-Feb-21 6:45:00 AM CET,143417
06-Feb-21 7:00:00 AM CET,143418
06-Feb-21 7:15:00 AM CET,143419
06-Feb-21 7:30:00 AM CET,143420
06-Feb-21 7:45:00 AM CET,143421
06-Feb-21 8:00:00 AM CET,143422
06-Feb-21 8:15:00 AM CET,143424
06-Feb-21 8:30:00 AM CET,143425
06-Feb-21 8:45:00 AM CET,143426
06-Feb-21 9:00:00 AM CET,143427
06-Feb-21 9:15:01 AM CET,143428
06-Feb-21 9:30:00 AM CET,143429
06-Feb-21 9:45:00 AM CET,143430
06-Feb-21 10:00:00 AM CET,143432
06-Feb-21 10:15:00 AM CET,143433
06-Feb-21 10:30:00 AM CET,143434
06-Feb-21 10:45:00 AM CET,143435
06-Feb-21 11:00:00 AM CET,143436
06-Feb-21 11:15:00 AM CET,143437
06-Feb-21 11:30:00 AM CET,143438
06-Feb-21 11:45:00 AM CET,143440
06-Feb-21 12:00:00 PM CET,143441
06-Feb-21 12:15:00 PM CET,143442
06-Feb-21 12:30:00 PM CET,143443
06-Feb-21 12:45:00 PM CET,143444
06-Feb-21 1:00:00 PM CET,143445
06-Feb-21 1:15:00 PM CET,143446
06-Feb-21 1:30:00 PM CET,143448
06-Feb-21 1:45:00 PM CET,143449
06-Feb-21 2:00:00 PM CET,143450
06-Feb-21 2:15:00 PM CET,143451
06-Feb-21 2:30:01 PM CET,143452
06-Feb-21 2:45:00 PM CET,143453
06-Feb-21 3:00:00 PM CET,143454
06-Feb-21 3:15:00 PM CET,143456
06-Feb-21 3:30:00 PM CET,143457
06-Feb-21 3:45:00 PM CET,143458
06-Feb-21 4:00:00 PM CET,143459
06-Feb-21 4:15:00 PM CET,143460
06-Feb-21 4:30:00 PM CET,143461
06-Feb-21 4:45:00 PM CET,143462
06-Feb-21 5:00:01 PM CET,143464
06-Feb-21 5:15:00 PM CET,143465
06-Feb-21 5:30:00 PM CET,143466
06-Feb-21 5:45:00 PM CET,143467
06-Feb-21 6:00:00 PM CET,143468
06-Feb-21 6:15:01 PM CET,143469
06-Feb-21 6:30:00 PM CET,143471
06-Feb-21 6:45:00 PM CET,143472
06-Feb-21 7:00:00 PM CET,143473
06-Feb-21 7:15:00 PM CET,143474
06-Feb-21 7:30:00 PM CET,143475
06-Feb-21 7:45:00 PM CET,143476
06-Feb-21 8:00:00 PM CET,143477
06-Feb-21 8:15:00 PM CET,143479
06-Feb-21 8:30:01 PM CET,143480
06-Feb-21 8:45:00 PM CET,143481
06-Feb-21 9:00:00 PM CET,143482
06-Feb-21 9:15:00 PM CET,143483
06-Feb-21 9:30:00 PM CET,143484
06-Feb-21 9:45:01 PM CET,143485
06-Feb-21 10:00:00 PM CET,143487
06-Feb-21 10:15:01 PM CET,143488
06-Feb-21 10:30:00 PM CET,143489
06-Feb-21 10:45:00 PM CET,143490
06-Feb-21 11:00:00 PM CET,143491
06-Feb-21 11:15:00 PM CET,143492
06-Feb-21 11:30:00 PM CET,143493
06-Feb-21 11:45:00 PM CET,143495
07-Feb-21 12:00:00 AM CET,143496
07-Feb-21 12:15:00 AM CET,143497
07-Feb-21 12:30:00 AM CET,143498
07-Feb-21 12:45:00 AM CET,143499
07-Feb-21 1:00:00 AM CET,143500
07-Feb-21 1:15:00 AM CET,143501
07-Feb-21 1:30:00 AM CET,143503
07-Feb-21 1:45:01 AM CET,143504
07-Feb-21 2:00:00 AM CET,143505
07-Feb-21 2:15:00 AM CET,143506
07-Feb-21 2:30:01 AM CET,143507
07-Feb-21 2:45:00 AM CET,143508
07-Feb-21 3:00:00 AM CET,143509
07-Feb-21 3:15:00 AM CET,143511
07-Feb-21 3:30:00 AM CET,143512
07-Feb-21 3:45:00 AM CET,143513
07-Feb-21 4:00:00 AM CET,143514
07-Feb-21 4:15:00 AM CET,143515
07-Feb-21 4:30:00 AM CET,143516
07-Feb-21 4:45:00 AM CET,143517
07-Feb-21 5:00:00 AM CET,143519
07-Feb-21 5:15:00 AM CET,143520
07-Feb-21 5:30:00 AM CET,143521
07-Feb-21 5:45:00 AM CET,143522
07-Feb-21 6:00:00 AM CET,143523
07-Feb-21 6:15:00 AM CET,143524
07-Feb-21 6:30:00 AM CET,143525
07-Feb-21 6:45:01 AM CET,143527
07-Feb-21 7:00:01 AM CET,143528
07-Feb-21 7:15:00 AM CET,143529
07-Feb-21 7:30:00 AM CET,143530
07-Feb-21 7:45:00 AM CET,143531
07-Feb-21 8:00:00 AM CET,143532
07-Feb-21 8:15:00 AM CET,143534
07-Feb-21 8:30:00 AM CET,143535
07-Feb-21 8:45:00 AM CET,143536
07-Feb-21 9:00:00 AM CET,143537
07-Feb-21 9:15:00 AM CET,143538
07-Feb-21 9:30:00 AM CET,143539
07-Feb-21 9:45:00 AM CET,143541
07-Feb-21 10:00:00 AM CET,143542
07-Feb-21 10:15:00 AM CET,143543
07-Feb-21 10:30:00 AM CET,143544
07-Feb-21 10:45:00 AM CET,143545
07-Feb-21 11:00:00 AM CET,143546
07-Feb-21 11:15:00 AM CET,143547
07-Feb-21 11:30:01 AM CET,143549
07-Feb-21 11:45:00 AM CET,143550
07-Feb-21 12:00:00 PM CET,143551
07-Feb-21 12:15:00 PM CET,143552
07-Feb-21 12:30:00 PM CET,143553
07-Feb-21 12:45:00 PM CET,143554
07-Feb-21 1:00:00 PM CET,143556
07-Feb-21 1:15:00 PM CET,143557
07-Feb-21 1:30:00 PM CET,143558
07-Feb-21 1:45:00 PM CET,143559
07-Feb-21 2:00:00 PM CET,143560
07-Feb-21 2:15:00 PM CET,143561
07-Feb-21 2:30:00 PM CET,143562
07-Feb-21 2:45:00 PM CET,143564
07-Feb-21 3:00:01 PM CET,143565
07-Feb-21 3:15:00 PM CET,143566
07-Feb-21 3:30:00 PM CET,143567
07-Feb-21 3:45:00 PM CET,143568
07-Feb-21 4:00:00 PM CET,143569
07-Feb-21 4:15:00 PM CET,143571
07-Feb-21 4:30:00 PM CET,143572
07-Feb-21 4:45:00 PM CET,143573
07-Feb-21 5:00:00 PM CET,143574
07-Feb-21 5:15:00 PM CET,143575
07-Feb-21 5:30:01 PM CET,143576
07-Feb-21 5:45:00 PM CET,143577
07-Feb-21 6:00:00 PM CET,143579
07-Feb-21 6:15:00 PM CET,143580
07-Feb-21 6:30:00 PM CET,143581
07-Feb-21 6:45:00 PM CET,143582
07-Feb-21 7:00:00 PM CET,143583
07-Feb-21 7:15:00 PM CET,143584
07-Feb-21 7:30:00 PM CET,143586
07-Feb-21 7:45:00 PM CET,143587
07-Feb-21 8:00:00 PM CET,143588
07-Feb-21 8:15:01 PM CET,143589
07-Feb-21 8:30:00 PM CET,143590
07-Feb-21 8:45:00 PM CET,143591
