Timestamp,Value (°C)
04-Feb-21 9:00:01 AM CET, -6.1
04-Feb-21 9:15:00 AM CET, -5.8
04-Feb-21 9:30:00 AM CET, -5.8
04-Feb-21 9:45:00 AM CET, -4.9
04-Feb-21 10:00:00 AM CET, -5.2
04-Feb-21 10:15:00 AM CET, -5.2
04-Feb-21 10:30:00 AM CET, -5.5
04-Feb-21 10:45:00 AM CET, -5.2
04-Feb-21 11:00:00 AM CET, -4.7
04-Feb-21 11:15:00 AM CET, -4.1
04-Feb-21 11:30:00 AM CET, -4.1
04-Feb-21 11:45:00 AM CET, -3.8
04-Feb-21 12:00:00 PM CET, -3.8
04-Feb-21 12:15:00 PM CET, -3.8
04-Feb-21 12:30:00 PM CET, -3.2
04-Feb-21 12:45:00 PM CET, -3.0
04-Feb-21 1:00:00 PM CET, -2.7
04-Feb-21 1:15:00 PM CET, -2.4
04-Feb-21 1:30:00 PM CET, -2.4
04-Feb-21 1:45:00 PM CET, -2.1
04-Feb-21 2:00:00 PM CET, -2.4
04-Feb-21 2:15:00 PM CET, -2.1
04-Feb-21 2:30:00 PM CET, -2.1
04-Feb-21 2:45:00 PM CET, -1.8
04-Feb-21 3:00:00 PM CET, -1.8
04-Feb-21 3:15:00 PM CET, -1.5
04-Feb-21 3:30:00 PM CET, -1.5
04-Feb-21 3:45:00 PM CET, -1.5
04-Feb-21 4:00:00 PM CET, -1.5
04-Feb-21 4:15:00 PM CET, -1.8
04-Feb-21 4:30:00 PM CET, -1.8
04-Feb-21 4:45:00 PM CET, -2.1
04-Feb-21 5:00:00 PM CET, -2.4
04-Feb-21 5:15:00 PM CET, -2.6
04-Feb-21 5:30:00 PM CET, -2.9
04-Feb-21 5:45:00 PM CET, -3.2
04-Feb-21 6:00:00 PM CET, -3.2
04-Feb-21 6:15:00 PM CET, -2.4
04-Feb-21 6:30:00 PM CET,7.6
04-Feb-21 6:45:00 PM CET,8.7
04-Feb-21 7:00:00 PM CET,9.9
04-Feb-21 7:15:01 PM CET,10.8
04-Feb-21 7:30:00 PM CET,11.3
04-Feb-21 7:45:00 PM CET,11.9
04-Feb-21 8:00:00 PM CET,12.2
04-Feb-21 8:15:00 PM CET,12.8
04-Feb-21 8:30:00 PM CET,13.0
04-Feb-21 8:45:00 PM CET,13.6
04-Feb-21 9:00:00 PM CET,13.6
04-Feb-21 9:15:00 PM CET,13.9
04-Feb-21 9:30:00 PM CET,13.9
04-Feb-21 9:45:00 PM CET,14.2
04-Feb-21 10:00:00 PM CET,14.5
04-Feb-21 10:15:00 PM CET,14.5
04-Feb-21 10:30:00 PM CET,14.8
04-Feb-21 10:45:00 PM CET,14.8
04-Feb-21 11:00:00 PM CET,14.8
04-Feb-21 11:15:00 PM CET,14.8
04-Feb-21 11:30:00 PM CET,15.1
04-Feb-21 11:45:00 PM CET,15.1
05-Feb-21 12:00:00 AM CET,15.3
05-Feb-21 12:15:01 AM CET,15.3
05-Feb-21 12:30:00 AM CET,15.3
05-Feb-21 12:45:00 AM CET,15.3
05-Feb-21 1:00:00 AM CET,15.3
05-Feb-21 1:15:00 AM CET,15.6
05-Feb-21 1:30:00 AM CET,15.6
05-Feb-21 1:45:00 AM CET,15.6
05-Feb-21 2:00:01 AM CET,15.6
05-Feb-21 2:15:00 AM CET,15.6
05-Feb-21 2:30:00 AM CET,15.6
05-Feb-21 2:45:00 AM CET,15.6
05-Feb-21 3:00:00 AM CET,15.6
05-Feb-21 3:15:00 AM CET,15.6
05-Feb-21 3:30:00 AM CET,15.6
05-Feb-21 3:45:00 AM CET,15.6
05-Feb-21 4:00:00 AM CET,15.6
05-Feb-21 4:15:00 AM CET,15.6
05-Feb-21 4:30:00 AM CET,15.6
05-Feb-21 4:45:00 AM CET,15.6
05-Feb-21 5:00:00 AM CET,15.6
05-Feb-21 5:15:00 AM CET,15.6
05-Feb-21 5:30:00 AM CET,15.6
05-Feb-21 5:45:00 AM CET,15.6
05-Feb-21 6:00:00 AM CET,15.6
05-Feb-21 6:15:00 AM CET,15.6
05-Feb-21 6:30:00 AM CET, -3.8
05-Feb-21 6:45:00 AM CET, -4.4
05-Feb-21 7:00:00 AM CET, -4.4
05-Feb-21 7:15:00 AM CET, -4.7
05-Feb-21 7:30:00 AM CET, -4.7
05-Feb-21 7:45:00 AM CET, -4.7
05-Feb-21 8:00:00 AM CET, -4.7
05-Feb-21 8:15:00 AM CET, -4.7
05-Feb-21 8:30:00 AM CET, -5.2
05-Feb-21 8:45:00 AM CET, -5.5
05-Feb-21 9:00:00 AM CET, -5.8
05-Feb-21 9:15:00 AM CET, -6.1
05-Feb-21 9:30:00 AM CET, -5.8
05-Feb-21 9:45:00 AM CET, -4.7
05-Feb-21 10:00:00 AM CET, -4.1
05-Feb-21 10:15:00 AM CET, -3.5
05-Feb-21 10:30:00 AM CET, -3.2
