Timestamp,Value (kW-hr)
04-Feb-21 8:45:00 AM CET,121
04-Feb-21 9:00:01 AM CET,118
04-Feb-21 9:15:00 AM CET,108
04-Feb-21 9:30:00 AM CET,1115090
04-Feb-21 9:45:00 AM CET,1115120
04-Feb-21 10:00:00 AM CET,1115150
04-Feb-21 10:15:00 AM CET,1115180
04-Feb-21 10:30:00 AM CET,1115210
04-Feb-21 10:45:00 AM CET,1115240
04-Feb-21 11:00:00 AM CET,1115270
04-Feb-21 11:15:00 AM CET,1115290
04-Feb-21 11:30:00 AM CET,1115320
04-Feb-21 11:45:00 AM CET,1115350
04-Feb-21 12:00:00 PM CET,1115370
04-Feb-21 12:15:00 PM CET,1115400
04-Feb-21 12:30:00 PM CET,1115420
04-Feb-21 12:45:00 PM CET,1115450
04-Feb-21 1:00:00 PM CET,1115470
04-Feb-21 1:15:00 PM CET,1115500
04-Feb-21 1:30:00 PM CET,1115520
04-Feb-21 1:45:00 PM CET,1115550
04-Feb-21 2:00:00 PM CET,1115570
04-Feb-21 2:15:00 PM CET,1115600
04-Feb-21 2:30:00 PM CET,1115620
04-Feb-21 2:45:00 PM CET,1115650
04-Feb-21 3:00:00 PM CET,1115670
04-Feb-21 3:15:00 PM CET,1115700
04-Feb-21 3:30:00 PM CET,1115720
04-Feb-21 3:45:00 PM CET,1115750
04-Feb-21 4:00:00 PM CET,1115770
04-Feb-21 4:15:00 PM CET,1115800
04-Feb-21 4:30:00 PM CET,1115820
04-Feb-21 4:45:00 PM CET,1115850
04-Feb-21 5:00:00 PM CET,1115880
04-Feb-21 5:15:00 PM CET,1115900
04-Feb-21 5:30:00 PM CET,1115930
04-Feb-21 5:45:00 PM CET,1115960
04-Feb-21 6:00:00 PM CET,1115990
04-Feb-21 6:15:00 PM CET,1116020
04-Feb-21 6:30:00 PM CET,1116050
04-Feb-21 6:45:00 PM CET,1116070
04-Feb-21 7:00:00 PM CET,1116100
04-Feb-21 7:15:01 PM CET,1116120
04-Feb-21 7:30:00 PM CET,1116150
04-Feb-21 7:45:00 PM CET,1116170
04-Feb-21 8:00:00 PM CET,1116200
04-Feb-21 8:15:00 PM CET,1116220
04-Feb-21 8:30:00 PM CET,1116250
04-Feb-21 8:45:00 PM CET,1116280
04-Feb-21 9:00:00 PM CET,1116300
04-Feb-21 9:15:00 PM CET,1116320
04-Feb-21 9:30:00 PM CET,1116330
04-Feb-21 9:45:00 PM CET,1116350
04-Feb-21 10:00:00 PM CET,1116370
04-Feb-21 10:15:00 PM CET,1116390
04-Feb-21 10:30:00 PM CET,1116410
04-Feb-21 10:45:00 PM CET,1116420
04-Feb-21 11:00:00 PM CET,1116450
04-Feb-21 11:15:00 PM CET,1116470
04-Feb-21 11:30:00 PM CET,1116480
04-Feb-21 11:45:00 PM CET,1116500
05-Feb-21 12:00:00 AM CET,1116520
05-Feb-21 12:15:01 AM CET,1116540
05-Feb-21 12:30:00 AM CET,1116560
05-Feb-21 12:45:00 AM CET,1116580
05-Feb-21 1:00:00 AM CET,1116600
05-Feb-21 1:15:00 AM CET,1116630
05-Feb-21 1:30:00 AM CET,1116650
05-Feb-21 1:45:00 AM CET,1116660
05-Feb-21 2:00:01 AM CET,1116690
05-Feb-21 2:15:00 AM CET,1116710
05-Feb-21 2:30:00 AM CET,1116730
05-Feb-21 2:45:00 AM CET,1116750
05-Feb-21 3:00:00 AM CET,1116770
05-Feb-21 3:15:00 AM CET,1116790
05-Feb-21 3:30:00 AM CET,1116810
05-Feb-21 3:45:00 AM CET,1116830
05-Feb-21 4:00:00 AM CET,1116860
05-Feb-21 4:15:00 AM CET,1116880
05-Feb-21 4:30:00 AM CET,1116900
05-Feb-21 4:45:00 AM CET,1116920
05-Feb-21 5:00:00 AM CET,1116940
05-Feb-21 5:15:00 AM CET,1116960
05-Feb-21 5:30:00 AM CET,1116980
05-Feb-21 5:45:00 AM CET,1117000
05-Feb-21 6:00:00 AM CET,1117030
05-Feb-21 6:15:00 AM CET,1117050
05-Feb-21 6:30:00 AM CET,1117070
05-Feb-21 6:45:00 AM CET,1117110
05-Feb-21 7:00:00 AM CET,1117140
05-Feb-21 7:15:00 AM CET,1117190
05-Feb-21 7:30:00 AM CET,1117220
05-Feb-21 7:45:00 AM CET,1117260
05-Feb-21 8:00:00 AM CET,1117300
05-Feb-21 8:15:00 AM CET,1117330
05-Feb-21 8:30:00 AM CET,1117370
05-Feb-21 8:45:00 AM CET,1117400
05-Feb-21 9:00:00 AM CET,1117430
05-Feb-21 9:15:00 AM CET,1117470
05-Feb-21 9:30:00 AM CET,1117500
05-Feb-21 9:45:00 AM CET,1117530
05-Feb-21 10:00:00 AM CET,1117560
05-Feb-21 10:15:00 AM CET,1117590
05-Feb-21 10:30:00 AM CET,1117620
05-Feb-21 10:45:00 AM CET,1117650
05-Feb-21 11:00:00 AM CET,1117670
05-Feb-21 11:15:00 AM CET,1117700
05-Feb-21 11:30:01 AM CET,1117720
05-Feb-21 11:45:00 AM CET,1117750
05-Feb-21 12:00:00 PM CET,1117770
05-Feb-21 12:15:00 PM CET,1117800
05-Feb-21 12:30:00 PM CET,1117820
05-Feb-21 12:45:00 PM CET,1117840
05-Feb-21 1:00:00 PM CET,1117870
05-Feb-21 1:15:00 PM CET,1117900
05-Feb-21 1:30:00 PM CET,1117920
05-Feb-21 1:45:00 PM CET,1117950
05-Feb-21 2:00:00 PM CET,1117970
05-Feb-21 2:15:00 PM CET,1118000
05-Feb-21 2:30:00 PM CET,1118020
05-Feb-21 2:45:00 PM CET,1118050
05-Feb-21 3:00:00 PM CET,1118070
05-Feb-21 3:15:00 PM CET,1118090
05-Feb-21 3:30:00 PM CET,1118120
05-Feb-21 3:45:00 PM CET,1118140
05-Feb-21 4:00:01 PM CET,1118160
05-Feb-21 4:15:01 PM CET,1118190
05-Feb-21 4:30:00 PM CET,1118210
05-Feb-21 4:45:00 PM CET,1118230
05-Feb-21 5:00:00 PM CET,1118260
05-Feb-21 5:15:00 PM CET,1118290
05-Feb-21 5:30:00 PM CET,1118310
05-Feb-21 5:45:00 PM CET,1118330
05-Feb-21 6:00:00 PM CET,1118350
