Timestamp,Value (kW-hr)
04-Feb-21 9:15:00 AM CET,56523
04-Feb-21 9:30:00 AM CET,56523
04-Feb-21 9:45:00 AM CET,56524
04-Feb-21 10:00:00 AM CET,56524
04-Feb-21 10:15:00 AM CET,56525
04-Feb-21 10:30:00 AM CET,56525
04-Feb-21 10:45:00 AM CET,56525
04-Feb-21 11:00:00 AM CET,56526
04-Feb-21 11:15:00 AM CET,56526
04-Feb-21 11:30:00 AM CET,56527
04-Feb-21 11:45:00 AM CET,56527
04-Feb-21 12:00:00 PM CET,56528
04-Feb-21 12:15:00 PM CET,56528
04-Feb-21 12:30:00 PM CET,56529
04-Feb-21 12:45:00 PM CET,56529
04-Feb-21 1:00:00 PM CET,56529
04-Feb-21 1:15:00 PM CET,56530
04-Feb-21 1:30:00 PM CET,56530
04-Feb-21 1:45:00 PM CET,56531
04-Feb-21 2:00:00 PM CET,56531
04-Feb-21 2:15:00 PM CET,56532
04-Feb-21 2:30:00 PM CET,56532
04-Feb-21 2:45:00 PM CET,56533
04-Feb-21 3:00:00 PM CET,56533
04-Feb-21 3:15:00 PM CET,56533
04-Feb-21 3:30:00 PM CET,56534
04-Feb-21 3:45:00 PM CET,56534
04-Feb-21 4:00:00 PM CET,56535
04-Feb-21 4:15:00 PM CET,56535
04-Feb-21 4:30:00 PM CET,56536
04-Feb-21 4:45:00 PM CET,56536
04-Feb-21 5:00:00 PM CET,56536
04-Feb-21 5:15:00 PM CET,56537
04-Feb-21 5:30:00 PM CET,56537
04-Feb-21 5:45:00 PM CET,56538
04-Feb-21 6:00:00 PM CET,56538
04-Feb-21 6:15:00 PM CET,56538
04-Feb-21 6:30:00 PM CET,56539
04-Feb-21 6:45:00 PM CET,56539
04-Feb-21 7:00:00 PM CET,56540
04-Feb-21 7:15:01 PM CET,56540
04-Feb-21 7:30:00 PM CET,56540
04-Feb-21 7:45:00 PM CET,56541
04-Feb-21 8:00:00 PM CET,56541
04-Feb-21 8:15:00 PM CET,56542
04-Feb-21 8:30:00 PM CET,56542
04-Feb-21 8:45:00 PM CET,56542
04-Feb-21 9:00:00 PM CET,56542
04-Feb-21 9:15:00 PM CET,56542
04-Feb-21 9:30:00 PM CET,56542
04-Feb-21 9:45:00 PM CET,56542
04-Feb-21 10:00:00 PM CET,56543
04-Feb-21 10:15:00 PM CET,56543
04-Feb-21 10:30:00 PM CET,56543
04-Feb-21 10:45:00 PM CET,56543
04-Feb-21 11:00:00 PM CET,56543
04-Feb-21 11:15:00 PM CET,56543
04-Feb-21 11:30:00 PM CET,56543
04-Feb-21 11:45:00 PM CET,56543
05-Feb-21 12:00:00 AM CET,56543
05-Feb-21 12:15:01 AM CET,56543
05-Feb-21 12:30:00 AM CET,56543
05-Feb-21 12:45:00 AM CET,56543
05-Feb-21 1:00:00 AM CET,56543
05-Feb-21 1:15:00 AM CET,56544
05-Feb-21 1:30:00 AM CET,56544
05-Feb-21 1:45:00 AM CET,56544
05-Feb-21 2:00:01 AM CET,56544
05-Feb-21 2:15:00 AM CET,56544
05-Feb-21 2:30:00 AM CET,56544
05-Feb-21 2:45:00 AM CET,56544
05-Feb-21 3:00:00 AM CET,56544
05-Feb-21 3:15:00 AM CET,56544
05-Feb-21 3:30:00 AM CET,56544
05-Feb-21 3:45:00 AM CET,56544
05-Feb-21 4:00:00 AM CET,56544
05-Feb-21 4:15:00 AM CET,56544
05-Feb-21 4:30:00 AM CET,56544
05-Feb-21 4:45:00 AM CET,56545
05-Feb-21 5:00:00 AM CET,56545
05-Feb-21 5:15:00 AM CET,56545
05-Feb-21 5:30:00 AM CET,56545
05-Feb-21 5:45:00 AM CET,56545
05-Feb-21 6:00:00 AM CET,56545
05-Feb-21 6:15:00 AM CET,56545
05-Feb-21 6:30:00 AM CET,56545
05-Feb-21 6:45:00 AM CET,56545
05-Feb-21 7:00:00 AM CET,56546
05-Feb-21 7:15:00 AM CET,56546
05-Feb-21 7:30:00 AM CET,56547
05-Feb-21 7:45:00 AM CET,56547
05-Feb-21 8:00:00 AM CET,56548
05-Feb-21 8:15:00 AM CET,56548
05-Feb-21 8:30:00 AM CET,56548
05-Feb-21 8:45:00 AM CET,56549
05-Feb-21 9:00:00 AM CET,56549
05-Feb-21 9:15:00 AM CET,56550
05-Feb-21 9:30:00 AM CET,56550
05-Feb-21 9:45:00 AM CET,56551
05-Feb-21 10:00:00 AM CET,56551
05-Feb-21 10:15:00 AM CET,56551
05-Feb-21 10:30:00 AM CET,56552
05-Feb-21 10:45:00 AM CET,56552
05-Feb-21 11:00:00 AM CET,56553
05-Feb-21 11:15:00 AM CET,56553
05-Feb-21 11:30:01 AM CET,56554
05-Feb-21 11:45:00 AM CET,56554
05-Feb-21 12:00:00 PM CET,56554
05-Feb-21 12:15:00 PM CET,56555
05-Feb-21 12:30:00 PM CET,56555
05-Feb-21 12:45:00 PM CET,56556
05-Feb-21 1:00:00 PM CET,56556
05-Feb-21 1:15:00 PM CET,56557
05-Feb-21 1:30:00 PM CET,56557
05-Feb-21 1:45:00 PM CET,56558
05-Feb-21 2:00:00 PM CET,56558
05-Feb-21 2:15:00 PM CET,56559
05-Feb-21 2:30:00 PM CET,56559
05-Feb-21 2:45:00 PM CET,56559
05-Feb-21 3:00:00 PM CET,56560
05-Feb-21 3:15:00 PM CET,56560
05-Feb-21 3:30:00 PM CET,56561
05-Feb-21 3:45:00 PM CET,56561
05-Feb-21 4:00:01 PM CET,56562
05-Feb-21 4:15:01 PM CET,56562
05-Feb-21 4:30:00 PM CET,56562
05-Feb-21 4:45:00 PM CET,56563
05-Feb-21 5:00:00 PM CET,56563
05-Feb-21 5:15:00 PM CET,56564
05-Feb-21 5:30:00 PM CET,56564
05-Feb-21 5:45:00 PM CET,56564
05-Feb-21 6:00:00 PM CET,56565
05-Feb-21 6:15:01 PM CET,56565
05-Feb-21 6:30:00 PM CET,56566
05-Feb-21 6:45:00 PM CET,56566
05-Feb-21 7:00:00 PM CET,56566
05-Feb-21 7:15:00 PM CET,56567
05-Feb-21 7:30:01 PM CET,56567
05-Feb-21 7:45:00 PM CET,56568
05-Feb-21 8:00:00 PM CET,56568
05-Feb-21 8:15:00 PM CET,56568
05-Feb-21 8:30:00 PM CET,56569
05-Feb-21 8:45:00 PM CET,56569
05-Feb-21 9:00:01 PM CET,56569
05-Feb-21 9:15:00 PM CET,56569
05-Feb-21 9:30:00 PM CET,56569
05-Feb-21 9:45:00 PM CET,56569
05-Feb-21 10:00:00 PM CET,56569
05-Feb-21 10:15:00 PM CET,56569
05-Feb-21 10:30:00 PM CET,56569
05-Feb-21 10:45:00 PM CET,56570
05-Feb-21 11:00:00 PM CET,56570
05-Feb-21 11:15:00 PM CET,56570
05-Feb-21 11:30:00 PM CET,56570
05-Feb-21 11:45:00 PM CET,56570
06-Feb-21 12:00:01 AM CET,56570
06-Feb-21 12:15:00 AM CET,56570
06-Feb-21 12:30:00 AM CET,56570
06-Feb-21 12:45:00 AM CET,56570
06-Feb-21 1:00:00 AM CET,56570
06-Feb-21 1:15:00 AM CET,56570
06-Feb-21 1:30:00 AM CET,56570
06-Feb-21 1:45:00 AM CET,56570
06-Feb-21 2:00:00 AM CET,56571
06-Feb-21 2:15:00 AM CET,56571
06-Feb-21 2:30:00 AM CET,56571
06-Feb-21 2:45:00 AM CET,56571
06-Feb-21 3:00:00 AM CET,56571
06-Feb-21 3:15:00 AM CET,56571
06-Feb-21 3:30:00 AM CET,56571
06-Feb-21 3:45:00 AM CET,56571
06-Feb-21 4:00:00 AM CET,56571
06-Feb-21 4:15:00 AM CET,56572
06-Feb-21 4:30:00 AM CET,56572
06-Feb-21 4:45:00 AM CET,56573
06-Feb-21 5:00:00 AM CET,56573
06-Feb-21 5:15:00 AM CET,56573
06-Feb-21 5:30:00 AM CET,56574
06-Feb-21 5:45:00 AM CET,56574
06-Feb-21 6:00:00 AM CET,56574
06-Feb-21 6:15:00 AM CET,56574
06-Feb-21 6:30:00 AM CET,56574
06-Feb-21 6:45:00 AM CET,56574
06-Feb-21 7:00:00 AM CET,56574
06-Feb-21 7:15:00 AM CET,56574
06-Feb-21 7:30:00 AM CET,56574
06-Feb-21 7:45:00 AM CET,56575
06-Feb-21 8:00:00 AM CET,56575
06-Feb-21 8:15:00 AM CET,56575
06-Feb-21 8:30:00 AM CET,56575
06-Feb-21 8:45:00 AM CET,56575
06-Feb-21 9:00:00 AM CET,56575
06-Feb-21 9:15:01 AM CET,56575
06-Feb-21 9:30:00 AM CET,56575
06-Feb-21 9:45:00 AM CET,56575
06-Feb-21 10:00:00 AM CET,56575
06-Feb-21 10:15:00 AM CET,56575
06-Feb-21 10:30:00 AM CET,56575
06-Feb-21 10:45:00 AM CET,56575
06-Feb-21 11:00:00 AM CET,56576
06-Feb-21 11:15:00 AM CET,56576
06-Feb-21 11:30:00 AM CET,56576
06-Feb-21 11:45:00 AM CET,56576
06-Feb-21 12:00:00 PM CET,56576
06-Feb-21 12:15:00 PM CET,56576
06-Feb-21 12:30:00 PM CET,56576
06-Feb-21 12:45:00 PM CET,56576
06-Feb-21 1:00:00 PM CET,56576
06-Feb-21 1:15:00 PM CET,56576
06-Feb-21 1:30:00 PM CET,56576
06-Feb-21 1:45:00 PM CET,56576
06-Feb-21 2:00:00 PM CET,56576
06-Feb-21 2:15:00 PM CET,56576
06-Feb-21 2:30:01 PM CET,56577
06-Feb-21 2:45:00 PM CET,56577
06-Feb-21 3:00:00 PM CET,56577
06-Feb-21 3:15:00 PM CET,56577
06-Feb-21 3:30:00 PM CET,56577
06-Feb-21 3:45:00 PM CET,56577
06-Feb-21 4:00:00 PM CET,56577
06-Feb-21 4:15:00 PM CET,56577
06-Feb-21 4:30:00 PM CET,56577
06-Feb-21 4:45:00 PM CET,56577
06-Feb-21 5:00:01 PM CET,56577
06-Feb-21 5:15:00 PM CET,56577
06-Feb-21 5:30:00 PM CET,56577
06-Feb-21 5:45:00 PM CET,56577
06-Feb-21 6:00:00 PM CET,56578
06-Feb-21 6:15:01 PM CET,56578
06-Feb-21 6:30:00 PM CET,56578
06-Feb-21 6:45:00 PM CET,56578
06-Feb-21 7:00:00 PM CET,56578
06-Feb-21 7:15:00 PM CET,56578
06-Feb-21 7:30:00 PM CET,56578
06-Feb-21 7:45:00 PM CET,56578
06-Feb-21 8:00:00 PM CET,56578
06-Feb-21 8:15:00 PM CET,56578
06-Feb-21 8:30:01 PM CET,56578
06-Feb-21 8:45:00 PM CET,56578
06-Feb-21 9:00:00 PM CET,56578
06-Feb-21 9:15:00 PM CET,56579
06-Feb-21 9:30:00 PM CET,56580
06-Feb-21 9:45:01 PM CET,56580
06-Feb-21 10:00:00 PM CET,56580
06-Feb-21 10:15:01 PM CET,56581
06-Feb-21 10:30:00 PM CET,56581
06-Feb-21 10:45:00 PM CET,56581
06-Feb-21 11:00:00 PM CET,56581
06-Feb-21 11:15:00 PM CET,56581
06-Feb-21 11:30:00 PM CET,56581
06-Feb-21 11:45:00 PM CET,56581
07-Feb-21 12:00:00 AM CET,56582
07-Feb-21 12:15:00 AM CET,56582
07-Feb-21 12:30:00 AM CET,56583
07-Feb-21 12:45:00 AM CET,56583
07-Feb-21 1:00:00 AM CET,56583
07-Feb-21 1:15:00 AM CET,56583
07-Feb-21 1:30:00 AM CET,56583
07-Feb-21 1:45:01 AM CET,56583
07-Feb-21 2:00:00 AM CET,56584
07-Feb-21 2:15:00 AM CET,56584
07-Feb-21 2:30:01 AM CET,56584
07-Feb-21 2:45:00 AM CET,56584
07-Feb-21 3:00:00 AM CET,56584
07-Feb-21 3:15:00 AM CET,56584
07-Feb-21 3:30:00 AM CET,56584
07-Feb-21 3:45:00 AM CET,56584
