Timestamp,Value (kW-hr)
04-Feb-21 8:45:00 AM CET,166068
04-Feb-21 9:00:01 AM CET,166073
04-Feb-21 9:15:00 AM CET,166078
04-Feb-21 9:30:00 AM CET,166084
04-Feb-21 9:45:00 AM CET,166089
04-Feb-21 10:00:00 AM CET,166094
04-Feb-21 10:15:00 AM CET,166099
04-Feb-21 10:30:00 AM CET,166104
04-Feb-21 10:45:00 AM CET,166109
04-Feb-21 11:00:00 AM CET,166114
04-Feb-21 11:15:00 AM CET,166119
04-Feb-21 11:30:00 AM CET,166124
04-Feb-21 11:45:00 AM CET,166128
04-Feb-21 12:00:00 PM CET,166133
04-Feb-21 12:15:00 PM CET,166138
04-Feb-21 12:30:00 PM CET,166143
04-Feb-21 12:45:00 PM CET,166148
04-Feb-21 1:00:00 PM CET,166152
04-Feb-21 1:15:00 PM CET,166157
04-Feb-21 1:30:00 PM CET,166161
04-Feb-21 1:45:00 PM CET,166166
04-Feb-21 2:00:00 PM CET,166170
04-Feb-21 2:15:00 PM CET,166175
04-Feb-21 2:30:00 PM CET,166179
04-Feb-21 2:45:00 PM CET,166183
04-Feb-21 3:00:00 PM CET,166188
04-Feb-21 3:15:00 PM CET,166192
04-Feb-21 3:30:00 PM CET,166196
04-Feb-21 3:45:00 PM CET,166201
04-Feb-21 4:00:00 PM CET,166205
04-Feb-21 4:15:00 PM CET,166209
04-Feb-21 4:30:00 PM CET,166214
04-Feb-21 4:45:00 PM CET,166219
04-Feb-21 5:00:00 PM CET,166224
04-Feb-21 5:15:00 PM CET,166229
04-Feb-21 5:30:00 PM CET,166233
04-Feb-21 5:45:00 PM CET,166238
04-Feb-21 6:00:00 PM CET,166243
04-Feb-21 6:15:00 PM CET,166248
04-Feb-21 6:30:00 PM CET,166252
04-Feb-21 6:45:00 PM CET,166257
04-Feb-21 7:00:00 PM CET,166261
04-Feb-21 7:15:01 PM CET,166266
04-Feb-21 7:30:00 PM CET,166271
04-Feb-21 7:45:00 PM CET,166275
04-Feb-21 8:00:00 PM CET,166280
04-Feb-21 8:15:00 PM CET,166284
04-Feb-21 8:30:00 PM CET,166289
04-Feb-21 8:45:00 PM CET,166293
04-Feb-21 9:00:00 PM CET,166298
04-Feb-21 9:15:00 PM CET,166302
04-Feb-21 9:30:00 PM CET,166307
04-Feb-21 9:45:00 PM CET,166311
04-Feb-21 10:00:00 PM CET,166316
04-Feb-21 10:15:00 PM CET,166321
04-Feb-21 10:30:00 PM CET,166325
04-Feb-21 10:45:00 PM CET,166329
04-Feb-21 11:00:00 PM CET,166334
04-Feb-21 11:15:00 PM CET,166338
04-Feb-21 11:30:00 PM CET,166343
04-Feb-21 11:45:00 PM CET,166347
05-Feb-21 12:00:00 AM CET,166352
05-Feb-21 12:15:01 AM CET,166357
05-Feb-21 12:30:00 AM CET,166362
05-Feb-21 12:45:00 AM CET,166367
05-Feb-21 1:00:00 AM CET,166371
05-Feb-21 1:15:00 AM CET,166376
05-Feb-21 1:30:00 AM CET,166380
05-Feb-21 1:45:00 AM CET,166384
05-Feb-21 2:00:01 AM CET,166389
05-Feb-21 2:15:00 AM CET,166394
05-Feb-21 2:30:00 AM CET,166399
05-Feb-21 2:45:00 AM CET,166403
05-Feb-21 3:00:00 AM CET,166408
05-Feb-21 3:15:00 AM CET,166412
