Timestamp,Value (kW-hr)
04-Feb-21 9:15:00 AM CET,2213845
04-Feb-21 9:30:00 AM CET,2213865
04-Feb-21 9:45:00 AM CET,2213883
04-Feb-21 10:00:00 AM CET,2213902
04-Feb-21 10:15:00 AM CET,2213921
04-Feb-21 10:30:00 AM CET,2213940
04-Feb-21 10:45:00 AM CET,2213958
04-Feb-21 11:00:00 AM CET,2213976
04-Feb-21 11:15:00 AM CET,2213996
04-Feb-21 11:30:00 AM CET,2214014
04-Feb-21 11:45:00 AM CET,2214032
04-Feb-21 12:00:00 PM CET,2214052
04-Feb-21 12:15:00 PM CET,2214072
04-Feb-21 12:30:00 PM CET,2214091
04-Feb-21 12:45:00 PM CET,2214110
04-Feb-21 1:00:00 PM CET,2214129
04-Feb-21 1:15:00 PM CET,2214149
04-Feb-21 1:30:00 PM CET,2214166
04-Feb-21 1:45:00 PM CET,2214186
04-Feb-21 2:00:00 PM CET,2214206
04-Feb-21 2:15:00 PM CET,2214227
04-Feb-21 2:30:00 PM CET,2214247
04-Feb-21 2:45:00 PM CET,2214264
04-Feb-21 3:00:00 PM CET,2214281
04-Feb-21 3:15:00 PM CET,2214298
04-Feb-21 3:30:00 PM CET,2214315
04-Feb-21 3:45:00 PM CET,2214331
04-Feb-21 4:00:00 PM CET,2214346
04-Feb-21 4:15:00 PM CET,2214361
04-Feb-21 4:30:00 PM CET,2214376
04-Feb-21 4:45:00 PM CET,2214392
04-Feb-21 5:00:00 PM CET,2214407
04-Feb-21 5:15:00 PM CET,2214421
04-Feb-21 5:30:00 PM CET,2214437
04-Feb-21 5:45:00 PM CET,2214450
04-Feb-21 6:00:00 PM CET,2214465
04-Feb-21 6:15:00 PM CET,2214479
04-Feb-21 6:30:00 PM CET,2214492
04-Feb-21 6:45:00 PM CET,2214506
04-Feb-21 7:00:00 PM CET,2214518
04-Feb-21 7:15:01 PM CET,2214531
04-Feb-21 7:30:00 PM CET,2214545
04-Feb-21 7:45:00 PM CET,2214557
04-Feb-21 8:00:00 PM CET,2214570
04-Feb-21 8:15:00 PM CET,2214582
04-Feb-21 8:30:00 PM CET,2214592
04-Feb-21 8:45:00 PM CET,2214600
04-Feb-21 9:00:00 PM CET,2214608
04-Feb-21 9:15:00 PM CET,2214616
04-Feb-21 9:30:00 PM CET,2214626
04-Feb-21 9:45:00 PM CET,2214635
04-Feb-21 10:00:00 PM CET,2214643
04-Feb-21 10:15:00 PM CET,2214651
04-Feb-21 10:30:00 PM CET,2214660
04-Feb-21 10:45:00 PM CET,2214668
04-Feb-21 11:00:00 PM CET,2214677
04-Feb-21 11:15:00 PM CET,2214684
04-Feb-21 11:30:00 PM CET,2214693
04-Feb-21 11:45:00 PM CET,2214702
05-Feb-21 12:00:00 AM CET,2214710
05-Feb-21 12:15:01 AM CET,2214718
05-Feb-21 12:30:00 AM CET,2214728
05-Feb-21 12:45:00 AM CET,2214736
05-Feb-21 1:00:00 AM CET,2214745
05-Feb-21 1:15:00 AM CET,2214752
05-Feb-21 1:30:00 AM CET,2214762
05-Feb-21 1:45:00 AM CET,2214770
05-Feb-21 2:00:01 AM CET,2214778
05-Feb-21 2:15:00 AM CET,2214788
05-Feb-21 2:30:00 AM CET,2214796
05-Feb-21 2:45:00 AM CET,2214804
05-Feb-21 3:00:00 AM CET,2214812
05-Feb-21 3:15:00 AM CET,2214821
05-Feb-21 3:30:00 AM CET,2214830
05-Feb-21 3:45:00 AM CET,2214838
05-Feb-21 4:00:00 AM CET,2214846
05-Feb-21 4:15:00 AM CET,2214855
05-Feb-21 4:30:00 AM CET,2214864
05-Feb-21 4:45:00 AM CET,2214872
05-Feb-21 5:00:00 AM CET,2214881
05-Feb-21 5:15:00 AM CET,2214889
05-Feb-21 5:30:00 AM CET,2214900
05-Feb-21 5:45:00 AM CET,2214911
05-Feb-21 6:00:00 AM CET,2214922
05-Feb-21 6:15:00 AM CET,2214933
05-Feb-21 6:30:00 AM CET,2214945
05-Feb-21 6:45:00 AM CET,2214960
05-Feb-21 7:00:00 AM CET,2214975
05-Feb-21 7:15:00 AM CET,2214990
05-Feb-21 7:30:00 AM CET,2215006
05-Feb-21 7:45:00 AM CET,2215022
05-Feb-21 8:00:00 AM CET,2215041
05-Feb-21 8:15:00 AM CET,2215060
05-Feb-21 8:30:00 AM CET,2215077
05-Feb-21 8:45:00 AM CET,2215097
05-Feb-21 9:00:00 AM CET,2215116
05-Feb-21 9:15:00 AM CET,2215134
05-Feb-21 9:30:00 AM CET,2215152
05-Feb-21 9:45:00 AM CET,2215169
05-Feb-21 10:00:00 AM CET,2215187
05-Feb-21 10:15:00 AM CET,2215207
05-Feb-21 10:30:00 AM CET,2215227
05-Feb-21 10:45:00 AM CET,2215243
05-Feb-21 11:00:00 AM CET,2215261
05-Feb-21 11:15:00 AM CET,2215278
05-Feb-21 11:30:01 AM CET,2215297
05-Feb-21 11:45:00 AM CET,2215315
05-Feb-21 12:00:00 PM CET,2215331
05-Feb-21 12:15:00 PM CET,2215349
05-Feb-21 12:30:00 PM CET,2215367
05-Feb-21 12:45:00 PM CET,2215385
05-Feb-21 1:00:00 PM CET,2215403
05-Feb-21 1:15:00 PM CET,2215420
05-Feb-21 1:30:00 PM CET,2215438
05-Feb-21 1:45:00 PM CET,2215455
05-Feb-21 2:00:00 PM CET,2215473
05-Feb-21 2:15:00 PM CET,2215491
05-Feb-21 2:30:00 PM CET,2215506
05-Feb-21 2:45:00 PM CET,2215525
05-Feb-21 3:00:00 PM CET,2215543
05-Feb-21 3:15:00 PM CET,2215559
05-Feb-21 3:30:00 PM CET,2215577
05-Feb-21 3:45:00 PM CET,2215591
05-Feb-21 4:00:01 PM CET,2215607
05-Feb-21 4:15:01 PM CET,2215622
05-Feb-21 4:30:00 PM CET,2215636
05-Feb-21 4:45:00 PM CET,2215649
05-Feb-21 5:00:00 PM CET,2215663
05-Feb-21 5:15:00 PM CET,2215676
05-Feb-21 5:30:00 PM CET,2215690
05-Feb-21 5:45:00 PM CET,2215704
05-Feb-21 6:00:00 PM CET,2215716
05-Feb-21 6:15:01 PM CET,2215730
05-Feb-21 6:30:00 PM CET,2215743
05-Feb-21 6:45:00 PM CET,2215756
05-Feb-21 7:00:00 PM CET,2215769
05-Feb-21 7:15:00 PM CET,2215781
05-Feb-21 7:30:01 PM CET,2215793
05-Feb-21 7:45:00 PM CET,2215807
05-Feb-21 8:00:00 PM CET,2215819
05-Feb-21 8:15:00 PM CET,2215831
05-Feb-21 8:30:00 PM CET,2215840
05-Feb-21 8:45:00 PM CET,2215848
05-Feb-21 9:00:01 PM CET,2215857
05-Feb-21 9:15:00 PM CET,2215865
05-Feb-21 9:30:00 PM CET,2215874
05-Feb-21 9:45:00 PM CET,2215882
05-Feb-21 10:00:00 PM CET,2215890
05-Feb-21 10:15:00 PM CET,2215898
05-Feb-21 10:30:00 PM CET,2215907
05-Feb-21 10:45:00 PM CET,2215916
05-Feb-21 11:00:00 PM CET,2215923
05-Feb-21 11:15:00 PM CET,2215932
05-Feb-21 11:30:00 PM CET,2215940
05-Feb-21 11:45:00 PM CET,2215949
06-Feb-21 12:00:01 AM CET,2215958
06-Feb-21 12:15:00 AM CET,2215965
06-Feb-21 12:30:00 AM CET,2215975
06-Feb-21 12:45:00 AM CET,2215983
06-Feb-21 1:00:00 AM CET,2215991
06-Feb-21 1:15:00 AM CET,2215999
06-Feb-21 1:30:00 AM CET,2216008
06-Feb-21 1:45:00 AM CET,2216016
06-Feb-21 2:00:00 AM CET,2216024
06-Feb-21 2:15:00 AM CET,2216032
06-Feb-21 2:30:00 AM CET,2216042
06-Feb-21 2:45:00 AM CET,2216050
06-Feb-21 3:00:00 AM CET,2216058
06-Feb-21 3:15:00 AM CET,2216066
06-Feb-21 3:30:00 AM CET,2216075
06-Feb-21 3:45:00 AM CET,2216083
06-Feb-21 4:00:00 AM CET,2216091
06-Feb-21 4:15:00 AM CET,2216101
06-Feb-21 4:30:00 AM CET,2216110
06-Feb-21 4:45:00 AM CET,2216119
06-Feb-21 5:00:00 AM CET,2216128
06-Feb-21 5:15:00 AM CET,2216137
06-Feb-21 5:30:00 AM CET,2216146
06-Feb-21 5:45:00 AM CET,2216157
06-Feb-21 6:00:00 AM CET,2216168
06-Feb-21 6:15:00 AM CET,2216178
06-Feb-21 6:30:00 AM CET,2216190
06-Feb-21 6:45:00 AM CET,2216201
06-Feb-21 7:00:00 AM CET,2216212
06-Feb-21 7:15:00 AM CET,2216223
06-Feb-21 7:30:00 AM CET,2216234
06-Feb-21 7:45:00 AM CET,2216246
06-Feb-21 8:00:00 AM CET,2216256
06-Feb-21 8:15:00 AM CET,2216267
06-Feb-21 8:30:00 AM CET,2216277
06-Feb-21 8:45:00 AM CET,2216289
06-Feb-21 9:00:00 AM CET,2216299
06-Feb-21 9:15:01 AM CET,2216309
06-Feb-21 9:30:00 AM CET,2216319
06-Feb-21 9:45:00 AM CET,2216329
06-Feb-21 10:00:00 AM CET,2216339
