Timestamp,Value (kW)
04-Feb-21 8:45:00 AM CET,1114990
04-Feb-21 9:00:01 AM CET,1115030
04-Feb-21 9:15:00 AM CET,1115060
04-Feb-21 9:30:00 AM CET,116
04-Feb-21 9:45:00 AM CET,117
04-Feb-21 10:00:00 AM CET,121
04-Feb-21 10:15:00 AM CET,110
04-Feb-21 10:30:00 AM CET,119
04-Feb-21 10:45:00 AM CET,102
04-Feb-21 11:00:00 AM CET,94
04-Feb-21 11:15:00 AM CET,97
04-Feb-21 11:30:00 AM CET,105
04-Feb-21 11:45:00 AM CET,102
04-Feb-21 12:00:00 PM CET,94
04-Feb-21 12:15:00 PM CET,99
04-Feb-21 12:30:00 PM CET,103
04-Feb-21 12:45:00 PM CET,82
04-Feb-21 1:00:00 PM CET,106
04-Feb-21 1:15:00 PM CET,89
04-Feb-21 1:30:00 PM CET,94
04-Feb-21 1:45:00 PM CET,91
04-Feb-21 2:00:00 PM CET,103
04-Feb-21 2:15:00 PM CET,95
04-Feb-21 2:30:00 PM CET,111
04-Feb-21 2:45:00 PM CET,95
04-Feb-21 3:00:00 PM CET,108
04-Feb-21 3:15:00 PM CET,97
04-Feb-21 3:30:00 PM CET,99
04-Feb-21 3:45:00 PM CET,92
04-Feb-21 4:00:00 PM CET,105
04-Feb-21 4:15:00 PM CET,93
04-Feb-21 4:30:00 PM CET,103
04-Feb-21 4:45:00 PM CET,110
04-Feb-21 5:00:00 PM CET,116
04-Feb-21 5:15:00 PM CET,107
04-Feb-21 5:30:00 PM CET,120
04-Feb-21 5:45:00 PM CET,114
04-Feb-21 6:00:00 PM CET,129
04-Feb-21 6:15:00 PM CET,103
04-Feb-21 6:30:00 PM CET,111
04-Feb-21 6:45:00 PM CET,80
04-Feb-21 7:00:00 PM CET,91
04-Feb-21 7:15:01 PM CET,104
04-Feb-21 7:30:00 PM CET,107
04-Feb-21 7:45:00 PM CET,102
04-Feb-21 8:00:00 PM CET,102
04-Feb-21 8:15:00 PM CET,106
04-Feb-21 8:30:00 PM CET,106
04-Feb-21 8:45:00 PM CET,102
04-Feb-21 9:00:00 PM CET,86
04-Feb-21 9:15:00 PM CET,71
04-Feb-21 9:30:00 PM CET,77
04-Feb-21 9:45:00 PM CET,72
04-Feb-21 10:00:00 PM CET,84
04-Feb-21 10:15:00 PM CET,77
04-Feb-21 10:30:00 PM CET,81
04-Feb-21 10:45:00 PM CET,85
04-Feb-21 11:00:00 PM CET,85
04-Feb-21 11:15:00 PM CET,82
04-Feb-21 11:30:00 PM CET,76
04-Feb-21 11:45:00 PM CET,91
05-Feb-21 12:00:00 AM CET,91
05-Feb-21 12:15:01 AM CET,101
05-Feb-21 12:30:00 AM CET,81
