Timestamp,Value (L/s)
04-Feb-21 9:00:01 AM CET,2880
04-Feb-21 9:15:00 AM CET,2829
04-Feb-21 9:30:00 AM CET,2858
04-Feb-21 9:45:00 AM CET,2884
04-Feb-21 10:00:00 AM CET,2863
04-Feb-21 10:15:00 AM CET,2771
04-Feb-21 10:30:00 AM CET,2888
04-Feb-21 10:45:00 AM CET,2972
04-Feb-21 11:00:00 AM CET,2814
04-Feb-21 11:15:00 AM CET,2921
04-Feb-21 11:30:00 AM CET,2775
04-Feb-21 11:45:00 AM CET,2848
04-Feb-21 12:00:00 PM CET,2910
04-Feb-21 12:15:00 PM CET,2842
04-Feb-21 12:30:00 PM CET,2883
04-Feb-21 12:45:00 PM CET,2919
04-Feb-21 1:00:00 PM CET,2885
04-Feb-21 1:15:00 PM CET,2883
04-Feb-21 1:30:00 PM CET,2884
04-Feb-21 1:45:00 PM CET,2966
04-Feb-21 2:00:00 PM CET,2944
04-Feb-21 2:15:00 PM CET,2847
04-Feb-21 2:30:00 PM CET,3127
04-Feb-21 2:45:00 PM CET,2971
04-Feb-21 3:00:00 PM CET,2889
04-Feb-21 3:15:00 PM CET,2989
04-Feb-21 3:30:00 PM CET,2895
04-Feb-21 3:45:00 PM CET,2713
04-Feb-21 4:00:00 PM CET,2966
04-Feb-21 4:15:00 PM CET,2808
04-Feb-21 4:30:00 PM CET,2751
04-Feb-21 4:45:00 PM CET,2812
04-Feb-21 5:00:00 PM CET,2812
04-Feb-21 5:15:00 PM CET,2677
04-Feb-21 5:30:00 PM CET,2769
04-Feb-21 5:45:00 PM CET,2726
04-Feb-21 6:00:00 PM CET,2766
04-Feb-21 6:15:00 PM CET,0
04-Feb-21 6:30:00 PM CET,0
04-Feb-21 6:45:00 PM CET,0
04-Feb-21 7:00:00 PM CET,0
04-Feb-21 7:15:01 PM CET,0
04-Feb-21 7:30:00 PM CET,0
04-Feb-21 7:45:00 PM CET,0
04-Feb-21 8:00:00 PM CET,0
04-Feb-21 8:15:00 PM CET,0
04-Feb-21 8:30:00 PM CET,0
04-Feb-21 8:45:00 PM CET,0
04-Feb-21 9:00:00 PM CET,0
04-Feb-21 9:15:00 PM CET,0
04-Feb-21 9:30:00 PM CET,0
04-Feb-21 9:45:00 PM CET,0
04-Feb-21 10:00:00 PM CET,0
04-Feb-21 10:15:00 PM CET,0
04-Feb-21 10:30:00 PM CET,0
04-Feb-21 10:45:00 PM CET,0
04-Feb-21 11:00:00 PM CET,0
04-Feb-21 11:15:00 PM CET,0
04-Feb-21 11:30:00 PM CET,0
04-Feb-21 11:45:00 PM CET,0
05-Feb-21 12:00:00 AM CET,0
05-Feb-21 12:15:01 AM CET,0
05-Feb-21 12:30:00 AM CET,0
05-Feb-21 12:45:00 AM CET,0
05-Feb-21 1:00:00 AM CET,0
05-Feb-21 1:15:00 AM CET,0
05-Feb-21 1:30:00 AM CET,0
05-Feb-21 1:45:00 AM CET,0
05-Feb-21 2:00:01 AM CET,0
05-Feb-21 2:15:00 AM CET,0
05-Feb-21 2:30:00 AM CET,0
05-Feb-21 2:45:00 AM CET,0
05-Feb-21 3:00:00 AM CET,0
05-Feb-21 3:15:00 AM CET,0
05-Feb-21 3:30:00 AM CET,0
05-Feb-21 3:45:00 AM CET,0
05-Feb-21 4:00:00 AM CET,0
05-Feb-21 4:15:00 AM CET,0
05-Feb-21 4:30:00 AM CET,0
05-Feb-21 4:45:00 AM CET,0
05-Feb-21 5:00:00 AM CET,0
05-Feb-21 5:15:00 AM CET,0
05-Feb-21 5:30:00 AM CET,0
05-Feb-21 5:45:00 AM CET,0
05-Feb-21 6:00:00 AM CET,0
05-Feb-21 6:15:00 AM CET,0
05-Feb-21 6:30:00 AM CET,2782
05-Feb-21 6:45:00 AM CET,2607
05-Feb-21 7:00:00 AM CET,2537
05-Feb-21 7:15:00 AM CET,2677
05-Feb-21 7:30:00 AM CET,2714
05-Feb-21 7:45:00 AM CET,2800
05-Feb-21 8:00:00 AM CET,2770
05-Feb-21 8:15:00 AM CET,2781
05-Feb-21 8:30:00 AM CET,2792
05-Feb-21 8:45:00 AM CET,2744
05-Feb-21 9:00:00 AM CET,2864
05-Feb-21 9:15:00 AM CET,2881
05-Feb-21 9:30:00 AM CET,2759
05-Feb-21 9:45:00 AM CET,2864
05-Feb-21 10:00:00 AM CET,2940
05-Feb-21 10:15:00 AM CET,3075
05-Feb-21 10:30:00 AM CET,2939
05-Feb-21 10:45:00 AM CET,2943
05-Feb-21 11:00:00 AM CET,3044
05-Feb-21 11:15:00 AM CET,2853
05-Feb-21 11:30:01 AM CET,2988
05-Feb-21 11:45:00 AM CET,2890
05-Feb-21 12:00:00 PM CET,2888
05-Feb-21 12:15:00 PM CET,2968
05-Feb-21 12:30:00 PM CET,2869
05-Feb-21 12:45:00 PM CET,2924
05-Feb-21 1:00:00 PM CET,3077
05-Feb-21 1:15:00 PM CET,2980
05-Feb-21 1:30:00 PM CET,2941
05-Feb-21 1:45:00 PM CET,3045
05-Feb-21 2:00:00 PM CET,2960
05-Feb-21 2:15:00 PM CET,2875
05-Feb-21 2:30:00 PM CET,3074
05-Feb-21 2:45:00 PM CET,2878
05-Feb-21 3:00:00 PM CET,2956
05-Feb-21 3:15:00 PM CET,2948
05-Feb-21 3:30:00 PM CET,2851
05-Feb-21 3:45:00 PM CET,2782
05-Feb-21 4:00:01 PM CET,2712
05-Feb-21 4:15:01 PM CET,2890
05-Feb-21 4:30:00 PM CET,2835
05-Feb-21 4:45:00 PM CET,2746
05-Feb-21 5:00:00 PM CET,2689
05-Feb-21 5:15:00 PM CET,0
05-Feb-21 5:30:00 PM CET,0
05-Feb-21 5:45:00 PM CET,0
05-Feb-21 6:00:00 PM CET,0
05-Feb-21 6:15:01 PM CET,0
05-Feb-21 6:30:00 PM CET,0
05-Feb-21 6:45:00 PM CET,0
05-Feb-21 7:00:00 PM CET,0
05-Feb-21 7:15:00 PM CET,0
05-Feb-21 7:30:01 PM CET,0
05-Feb-21 7:45:00 PM CET,0
05-Feb-21 8:00:00 PM CET,0
05-Feb-21 8:15:00 PM CET,0
05-Feb-21 8:30:00 PM CET,0
05-Feb-21 8:45:00 PM CET,0
05-Feb-21 9:00:01 PM CET,0
05-Feb-21 9:15:00 PM CET,0
05-Feb-21 9:30:00 PM CET,0
05-Feb-21 9:45:00 PM CET,0
05-Feb-21 10:00:00 PM CET,0
05-Feb-21 10:15:00 PM CET,0
05-Feb-21 10:30:00 PM CET,0
05-Feb-21 10:45:00 PM CET,0
05-Feb-21 11:00:00 PM CET,0
05-Feb-21 11:15:00 PM CET,0
05-Feb-21 11:30:00 PM CET,0
05-Feb-21 11:45:00 PM CET,0
06-Feb-21 12:00:01 AM CET,0
06-Feb-21 12:15:00 AM CET,0
06-Feb-21 12:30:00 AM CET,0
06-Feb-21 12:45:00 AM CET,0
06-Feb-21 1:00:00 AM CET,0
06-Feb-21 1:15:00 AM CET,0
06-Feb-21 1:30:00 AM CET,0
06-Feb-21 1:45:00 AM CET,0
06-Feb-21 2:00:00 AM CET,0
06-Feb-21 2:15:00 AM CET,0
06-Feb-21 2:30:00 AM CET,0
06-Feb-21 2:45:00 AM CET,0
06-Feb-21 3:00:00 AM CET,0
06-Feb-21 3:15:00 AM CET,0
06-Feb-21 3:30:00 AM CET,0
06-Feb-21 3:45:00 AM CET,0
06-Feb-21 4:00:00 AM CET,0
06-Feb-21 4:15:00 AM CET,0
06-Feb-21 4:30:00 AM CET,0
06-Feb-21 4:45:00 AM CET,0
06-Feb-21 5:00:00 AM CET,0
06-Feb-21 5:15:00 AM CET,0
06-Feb-21 5:30:00 AM CET,0
06-Feb-21 5:45:00 AM CET,0
06-Feb-21 6:00:00 AM CET,0
