Timestamp,Value (kW-hr)
04-Feb-21 9:15:00 AM CET,884752
04-Feb-21 9:30:00 AM CET,884759
04-Feb-21 9:45:00 AM CET,884765
04-Feb-21 10:00:00 AM CET,884771
04-Feb-21 10:15:00 AM CET,884777
04-Feb-21 10:30:00 AM CET,884783
04-Feb-21 10:45:00 AM CET,884789
04-Feb-21 11:00:00 AM CET,884795
04-Feb-21 11:15:00 AM CET,884802
04-Feb-21 11:30:00 AM CET,884807
04-Feb-21 11:45:00 AM CET,884814
04-Feb-21 12:00:00 PM CET,884820
04-Feb-21 12:15:00 PM CET,884826
04-Feb-21 12:30:00 PM CET,884833
04-Feb-21 12:45:00 PM CET,884839
04-Feb-21 1:00:00 PM CET,884846
04-Feb-21 1:15:00 PM CET,884852
04-Feb-21 1:30:00 PM CET,884858
04-Feb-21 1:45:00 PM CET,884864
04-Feb-21 2:00:00 PM CET,884871
04-Feb-21 2:15:00 PM CET,884877
04-Feb-21 2:30:00 PM CET,884883
04-Feb-21 2:45:00 PM CET,884889
04-Feb-21 3:00:00 PM CET,884896
04-Feb-21 3:15:00 PM CET,884902
04-Feb-21 3:30:00 PM CET,884908
04-Feb-21 3:45:00 PM CET,884914
04-Feb-21 4:00:00 PM CET,884920
04-Feb-21 4:15:00 PM CET,884926
04-Feb-21 4:30:00 PM CET,884932
04-Feb-21 4:45:00 PM CET,884938
04-Feb-21 5:00:00 PM CET,884943
04-Feb-21 5:15:00 PM CET,884949
04-Feb-21 5:30:00 PM CET,884955
04-Feb-21 5:45:00 PM CET,884960
04-Feb-21 6:00:00 PM CET,884966
04-Feb-21 6:15:00 PM CET,884972
04-Feb-21 6:30:00 PM CET,884976
04-Feb-21 6:45:00 PM CET,884982
04-Feb-21 7:00:00 PM CET,884987
04-Feb-21 7:15:01 PM CET,884992
04-Feb-21 7:30:00 PM CET,884998
04-Feb-21 7:45:00 PM CET,885002
04-Feb-21 8:00:00 PM CET,885008
04-Feb-21 8:15:00 PM CET,885013
